,price,Position,combinedForecast,Profit&Loss,Profit&Loss
2014-01-20,,-0.0,-11.45999698013527,-0.011698039775183133,3989.3437863462136
2014-01-21,557.0,-0.0,-11.59872819378258,-0.011697941336024087,3989.3320884048776
2014-01-22,557.5,-0.0,-11.89279616114674,-0.011697803417973773,3989.3203906014596
2014-01-23,559.25,-0.0,-12.01614357842767,-0.011697627016474144,3989.308692974443
2014-01-24,559.5,-0.0,-12.139918215892811,-0.011697413107413013,3989.2969955613357
2014-01-27,562.5,-0.0,-11.96846642469021,-0.011697162646214565,3989.2852983986895
2014-01-28,560.75,-0.0,-11.970722201024854,-0.011696876570567838,3989.273601522119
2014-01-29,556.75,-0.0,-12.061333766762322,-0.011696555799517228,3989.2619049663194
2014-01-30,560.25,-0.0,-11.874843095466428,-0.011696201232098247,3989.2502087650873
2014-01-31,560.0,-0.0,-11.692127183049195,-0.011695813751884998,3989.2385129513355
2014-02-03,563.0,-0.0,-11.339728197754422,-0.011695394222442701,3989.226817557113
2014-02-04,569.25,-0.0,-10.685801562543128,-0.011694943491875165,3989.215122613621
2014-02-05,567.0,-0.0,-10.215920007942806,-0.011694462390096305,3989.203428151231
2014-02-06,568.25,-0.0,-9.711043374876937,-0.01169395173110388,3989.1917341995
2014-02-07,570.0,-0.0,-9.15286095438637,-0.011693412311615248,3989.1800407871883
2014-02-10,568.25,-0.0,-8.766797285458527,-0.011692844913795852,3989.1683479422745
2014-02-11,565.75,-0.0,-8.588046623502514,-0.011692250302985485,3989.1566556919715
2014-02-12,567.75,-0.0,-8.309847291265967,-0.011691629229062528,3989.1449640627425
2014-02-13,566.25,-0.0,-8.15050414897296,-0.011690982427353447,3989.133273080315
2014-02-14,569.75,-0.0,-7.8002302765085165,-0.011690310617268551,3989.121582769698
2014-02-17,,-0.0,-7.805954175290004,-0.011689614505030477,3989.109893155193
2014-02-18,573.75,-0.0,-7.1558256687657025,-0.01168889478140045,3989.0982042604114
2014-02-19,578.25,-0.0,-6.304224452528997,-0.011688152123497275,3989.086516108288
2014-02-20,578.75,-0.0,-5.548182981924254,-0.011687387194797338,3989.074828721093
